Reaktionsdatum,Reaktionstyp,Übergeordneter Typ,Übergeordnete ID
"02.08.2020, 18:07:26",Kudos,Aktivität,3849376780
"02.08.2020, 18:07:31",Kudos,Aktivität,3847176293
"02.08.2020, 18:07:33",Kudos,Aktivität,3847120742
"03.08.2020, 18:55:19",Kudos,Aktivität,3857040099
"03.08.2020, 18:55:21",Kudos,Aktivität,3858377655
"04.08.2020, 09:12:13",Kudos,Aktivität,3859819278
"06.08.2020, 16:05:00",Kudos,Aktivität,3873763725
"06.08.2020, 16:05:11",Kudos,Aktivität,3872297635
"06.08.2020, 16:06:10",Kudos,Aktivität,3871904238
"08.08.2020, 05:35:11",Kudos,Aktivität,3878317319
"08.08.2020, 05:35:21",Kudos,Aktivität,3873956711
"08.08.2020, 14:31:55",Kudos,Aktivität,3882827839
"08.08.2020, 14:32:11",Kudos,Aktivität,3882453532
"08.08.2020, 14:32:49",Kudos,Aktivität,3881504296
"09.08.2020, 19:00:29",Kudos,Aktivität,3887633541
"09.08.2020, 19:00:46",Kudos,Aktivität,3887551924
"09.08.2020, 19:01:14",Kudos,Aktivität,3886980466
"09.08.2020, 19:01:42",Kudos,Aktivität,3886222114
"10.08.2020, 11:33:33",Kudos,Aktivität,3890157042
"11.08.2020, 10:45:06",Kudos,Aktivität,3896048390
"13.08.2020, 19:59:10",Kudos,Aktivität,3905463347
"13.08.2020, 21:28:56",Kudos,Aktivität,3908982228
"14.08.2020, 18:31:48",Kudos,Aktivität,3912555998
"15.08.2020, 18:47:13",Kudos,Aktivität,3917449096
"16.08.2020, 18:27:09",Kudos,Aktivität,3921032054
"16.08.2020, 18:27:34",Kudos,Aktivität,3919994095
"16.08.2020, 18:27:41",Kudos,Aktivität,3921399979
"18.08.2020, 20:29:52",Kudos,Aktivität,3931946622
"18.08.2020, 20:30:03",Kudos,Aktivität,3925391639
"18.08.2020, 20:30:27",Kudos,Aktivität,3924529503
"18.08.2020, 20:30:31",Kudos,Aktivität,3931269932
"20.08.2020, 11:10:26",Kudos,Aktivität,3937219990
"20.08.2020, 11:10:37",Kudos,Aktivität,3935122864
"23.08.2020, 11:19:52",Kudos,Aktivität,3953587486
"23.08.2020, 11:20:10",Kudos,Aktivität,3953157431
"23.08.2020, 11:20:39",Kudos,Aktivität,3952800823
"23.08.2020, 15:23:42",Kudos,Aktivität,3954381259
"27.08.2020, 18:22:14",Kudos,Aktivität,3970463730
"29.08.2020, 11:53:11",Kudos,Aktivität,3978036981
"29.08.2020, 11:53:36",Kudos,Aktivität,3977967782
"29.08.2020, 15:00:04",Kudos,Aktivität,3982055620
"30.08.2020, 06:55:18",Kudos,Aktivität,3984039333
"30.08.2020, 06:55:56",Kudos,Aktivität,3982364384
"30.08.2020, 06:55:59",Kudos,Aktivität,3982586633
"30.08.2020, 15:11:09",Kudos,Aktivität,3986445794
"30.08.2020, 15:11:17",Kudos,Aktivität,3986795188
"30.08.2020, 15:11:45",Kudos,Aktivität,3986765087
"31.08.2020, 05:28:51",Kudos,Aktivität,3987028915
"31.08.2020, 18:05:29",Kudos,Aktivität,3992083253
"31.08.2020, 18:05:39",Kudos,Aktivität,3992094233
"31.08.2020, 18:06:06",Kudos,Aktivität,3989913639
"31.08.2020, 18:07:18",Kudos,Aktivität,3987493386
"31.08.2020, 18:07:56",Kudos,Aktivität,3985475033
"01.09.2020, 11:29:16",Kudos,Aktivität,3992079960
"03.09.2020, 16:50:38",Kudos,Aktivität,4006155695
"03.09.2020, 16:51:19",Kudos,Aktivität,4004942386
"03.09.2020, 16:51:24",Kudos,Aktivität,4004941042
"05.09.2020, 10:41:12",Kudos,Aktivität,4012328791
"05.09.2020, 10:42:20",Kudos,Aktivität,4012337955
"09.09.2020, 07:40:23",Kudos,Aktivität,4030451382
"09.09.2020, 07:40:47",Kudos,Aktivität,4030307385
"09.09.2020, 07:41:08",Kudos,Aktivität,4028926187
"09.09.2020, 07:41:10",Kudos,Aktivität,4030186325
"09.09.2020, 07:47:02",Kudos,Aktivität,4029290105
"09.09.2020, 07:47:16",Kudos,Aktivität,4031164847
"09.09.2020, 17:21:50",Kudos,Aktivität,4035414084
"10.09.2020, 07:54:27",Kudos,Aktivität,4037618670
"10.09.2020, 07:54:47",Kudos,Aktivität,4037473381
"10.09.2020, 18:12:44",Kudos,Aktivität,4039714288
"15.09.2020, 16:18:57",Kudos,Aktivität,4063342831
"15.09.2020, 16:19:06",Kudos,Aktivität,4062413431
"15.09.2020, 16:19:18",Kudos,Aktivität,4062361698
"15.09.2020, 16:19:37",Kudos,Aktivität,4059959169
"15.09.2020, 16:19:41",Kudos,Aktivität,4059027906
"15.09.2020, 16:19:45",Kudos,Aktivität,4060186887
"15.09.2020, 16:20:02",Kudos,Aktivität,4057970489
"15.09.2020, 16:20:07",Kudos,Aktivität,4057472595
